customer_tweet_id,customer_text,historical_brand_reply,predicted_intent,confidence,best_similarity,retrieved_count,action,decision_reason,retrieved_reply,failure_score
1925030,"@AppleSupport does new IOS has some issues, I m facing some hanging issues with my iphone 6 32gb","@572987 We'd like to look into this with you, please join us in DM and let us know which iOS version is installed to get started. https://t.co/GDrqU22YpT",performance_freezing,0.1782,0.0,0,ESCALATE,Device-specific troubleshooting required,,0.82872
1268381,@416983 @115858 Don’t do it. Joanna did and hated it. I did because the caller ID was messed up- didn’t help. Everything is terrible.,@416982 We'd like to assist you with this. DM us here: https://t.co/GDrqU22YpT,account_or_billing_issue,0.225,0.0,0,ESCALATE,Low intent confidence,,0.81
2205829,@AppleSupport whats going on after attempting to install high sierra on my imac please? Its completely dead https://t.co/IxdKj4Q5Al,"@644947 We'd be happy to help with your Mac. If you restart the device, does it come back to this screen? Does an error message show before this appears? Let us know in DM, please. https://t.co/GDrqU22YpT",information_or_how_to,0.301,0.0,0,ESCALATE,Low intent confidence,,0.7796
2076090,".@AppleSupport Thanks for iOS11, it has taken away all functionality of my phone w/ a constant reboot. At least I have new nightlight. https://t.co/s8kP5DJelM",@614004 This is not the experience we want for you with our new update. Let's look into this together in DM here: https://t.co/GDrqU22YpT,performance_freezing,0.3287,0.0,0,ESCALATE,Device-specific troubleshooting required,,0.76852
1368828,@AppleSupport My laptop and smart tv both are working fine and running at normal speed. I’ve rebooted my modem several times. I’m on version 11.1.1 ... although I did 5 network reboots and it finally took... and it stayed connected for 5 Mins and stopped working again,"@438616 Understood. How many devices are connected to this network at one time? Are you able to connect to other networks, or does this persist?",connectivity_issue,0.3366,0.0,0,ESCALATE,Low intent confidence,,0.7653599999999999
